                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.8084,                 3.0538,                 1.6092,                0.00333,                      1,                0.24998,                0.14804,                 2.0377,                 4.3217,                 1.8666,               0.068256,              0.0022556,              0.0022556
                     35,                 1.4255,                 2.4131,                 1.3695,                0.00333,                      1,                0.24998,                0.14804,                 2.0377,                 4.3217,                 1.8666,               0.067287,              0.0022873,              0.0022873
                     36,                 1.5175,                 2.7271,                 1.3936,                 0.0025,                   0.75,                 0.2537,                 0.1497,                 2.0494,                 4.2468,                 1.9111,               0.066317,               0.002317,               0.002317
                     37,                  1.346,                 2.0832,                 1.2983,                 0.0025,                   0.75,                 0.2537,                 0.1497,                 2.0494,                 4.2468,                 1.9111,               0.065345,              0.0023447,              0.0023447
                     38,                 1.4281,                 2.5151,                 1.3533,                0.00333,                      1,                 0.4985,                0.19806,                 2.0524,                 4.1663,                 1.9183,                0.06437,              0.0023704,              0.0023704
                     39,                 1.5645,                 2.2129,                 1.5951,                0.00333,                      1,                 0.4985,                0.19806,                 2.0524,                 4.1663,                 1.9183,               0.063394,              0.0023942,              0.0023942
                     40,                 1.6104,                 2.3693,                 1.5154,                0.00333,                      1,                0.49852,                0.29704,                 1.8365,                 3.9825,                 1.7083,               0.062416,               0.002416,               0.002416
                     41,                 1.3428,                 1.9387,                 1.2933,                0.00333,                      1,                0.49852,                0.29704,                 1.8365,                 3.9825,                 1.7083,               0.061436,              0.0024358,              0.0024358
                     42,                 1.3085,                 2.1658,                 1.1648,                0.00333,                      1,                0.49864,                0.29659,                 1.8694,                 4.0686,                 1.7592,               0.060454,              0.0024536,              0.0024536
                     43,                 1.3058,                 2.2115,                 1.2579,                0.00333,                      1,                0.49864,                0.29659,                 1.8694,                 4.0686,                 1.7592,               0.059469,              0.0024695,              0.0024695
                     44,                 1.5814,                 2.6098,                 1.3785,                0.00333,                      1,                0.49864,                0.16141,                 1.8406,                 3.9239,                 1.6585,               0.058483,              0.0024834,              0.0024834
                     45,                 1.3622,                 1.9884,                 1.3732,                0.00333,                      1,                0.49864,                0.16141,                 1.8406,                 3.9239,                 1.6585,               0.057495,              0.0024953,              0.0024953
                     46,                 1.2247,                  1.881,                 1.2689,                0.00333,                      1,                0.50357,                0.32186,                 1.7162,                 3.7017,                 1.6554,               0.056505,              0.0025052,              0.0025052
                     47,                 1.4352,                 2.4434,                 1.4624,                0.00333,                      1,                0.50357,                0.32186,                 1.7162,                 3.7017,                 1.6554,               0.055513,              0.0025131,              0.0025131
                     48,                 1.6965,                 2.1858,                 1.3665,                0.00333,                      1,                0.74682,                0.37169,                 1.7849,                 3.5734,                 1.6327,               0.054519,               0.002519,               0.002519
                     49,                 1.2238,                 1.8687,                 1.2193,                0.00333,                      1,                0.74682,                0.37169,                 1.7849,                 3.5734,                 1.6327,               0.053523,               0.002523,               0.002523
                     50,                 1.4068,                 1.8992,                 1.1584,                0.00333,                      1,                0.49914,                0.32206,                 1.7853,                  3.547,                 1.6846,               0.052525,               0.002525,               0.002525
                     51,                 1.1878,                 1.8183,                 1.2764,                0.00333,                      1,                0.49914,                0.32206,                 1.7853,                  3.547,                 1.6846,               0.051525,               0.002525,               0.002525
                     52,                 1.2258,                 2.1429,                 1.2901,                0.00333,                      1,                0.49914,                0.32206,                 1.7853,                  3.547,                 1.6846,               0.050523,               0.002523,               0.002523
                     53,                 1.1367,                  1.674,                 1.1641,                0.00333,                      1,                0.50797,                0.25161,                 1.9617,                 3.4301,                 1.8051,               0.049519,              0.0025191,              0.0025191
                     54,                 1.3454,                 1.9991,                 1.2391,                0.00333,                      1,                0.50797,                0.25161,                 1.9617,                 3.4301,                 1.8051,               0.048513,              0.0025132,              0.0025132
                     55,                 1.2029,                 1.3839,                 1.1844,                0.00333,                      1,                0.50797,                0.25161,                 1.9617,                 3.4301,                 1.8051,               0.047505,              0.0025053,              0.0025053
                     56,                 1.1282,                  1.847,                 1.1048,                0.00333,                      1,                0.50128,                0.29885,                 1.8661,                 3.4361,                  1.773,               0.046495,              0.0024954,              0.0024954
                     57,                 1.2068,                 1.5142,                 1.1763,                0.00333,                      1,                0.50128,                0.29885,                 1.8661,                 3.4361,                  1.773,               0.045483,              0.0024835,              0.0024835
                     58,                 1.0851,                  1.842,                 1.2133,                0.00333,                      1,                0.50128,                0.29885,                 1.8661,                 3.4361,                  1.773,                0.04447,              0.0024696,              0.0024696
                     59,                 1.4024,                 2.2562,                 1.4074,                0.00333,                      1,                0.49901,                0.14944,                 2.2253,                 3.6778,                 1.9096,               0.043454,              0.0024538,              0.0024538
                     60,                 1.6344,                 1.7565,                 1.2228,                0.00333,                      1,                0.49901,                0.14944,                 2.2253,                 3.6778,                 1.9096,               0.042436,               0.002436,               0.002436
                     61,                 1.3869,                 1.8079,                 1.2026,                0.00333,                      1,                0.49901,                0.14944,                 2.2253,                 3.6778,                 1.9096,               0.041416,              0.0024162,              0.0024162
                     62,                 1.2511,                 1.5462,                 1.2418,                0.00333,                      1,                0.41568,                0.18166,                 2.1217,                 3.5075,                 1.7857,               0.040394,              0.0023944,              0.0023944
                     63,                 1.1211,                 1.6916,                 1.0457,                0.00333,                      1,                0.41568,                0.18166,                 2.1217,                 3.5075,                 1.7857,               0.039371,              0.0023707,              0.0023707
                     64,                   1.16,                 1.5254,                 1.1276,                0.00333,                      1,                0.41568,                0.18166,                 2.1217,                 3.5075,                 1.7857,               0.038345,               0.002345,               0.002345
                     65,                 1.2108,                 1.6806,                 1.1529,                0.00333,                      1,                0.52195,                0.25479,                 1.9772,                 3.2921,                 1.7416,               0.037317,              0.0023172,              0.0023172
                     66,                 1.1676,                 1.8643,                  1.201,                0.00333,                      1,                0.52195,                0.25479,                 1.9772,                 3.2921,                 1.7416,               0.036288,              0.0022876,              0.0022876
                     67,                 1.2146,                 1.5223,                  1.057,                0.00333,                      1,                0.52195,                0.25479,                 1.9772,                 3.2921,                 1.7416,               0.035256,              0.0022559,              0.0022559
                     68,                 1.2623,                 1.6174,                 1.2369,                0.00333,                      1,                0.74698,                0.29795,                 2.0833,                 3.1286,                 1.7714,               0.034222,              0.0022222,              0.0022222
                     69,                 1.1711,                  1.505,                 1.0939,                0.00333,                      1,                0.74698,                0.29795,                 2.0833,                 3.1286,                 1.7714,               0.033187,              0.0021866,              0.0021866
                     70,                 1.1704,                 1.8795,                 1.1555,                0.00333,                      1,                0.74698,                0.29795,                 2.0833,                 3.1286,                 1.7714,               0.032149,               0.002149,               0.002149
                     71,                 1.1912,                 1.5959,                 1.1414,                0.91458,                    0.5,                0.69917,                0.24026,                 2.2197,                 2.9949,                 1.8081,               0.031109,              0.0021094,              0.0021094
                     72,                 1.2431,                 1.4802,                 1.1374,                0.91458,                    0.5,                0.69917,                0.24026,                 2.2197,                 2.9949,                 1.8081,               0.030068,              0.0020678,              0.0020678
                     73,                 1.5713,                 1.8149,                 1.2961,                0.91458,                    0.5,                0.69917,                0.24026,                 2.2197,                 2.9949,                 1.8081,               0.029024,              0.0020243,              0.0020243
                     74,                 1.0864,                 1.3459,                 1.0398,                      1,                0.42597,                0.82833,                0.31481,                 2.1312,                 2.8562,                 1.7972,               0.027979,              0.0019788,              0.0019788
                     75,                0.91205,                 1.2338,                0.97735,                      1,                0.42597,                0.82833,                0.31481,                 2.1312,                 2.8562,                 1.7972,               0.026931,              0.0019313,              0.0019313
                     76,                 0.9923,                 1.2866,                 1.0214,                      1,                0.42597,                0.82833,                0.31481,                 2.1312,                 2.8562,                 1.7972,               0.025882,              0.0018818,              0.0018818
                     77,                 1.1057,                 1.4276,                 1.0567,                      1,                0.43124,                   0.87,                0.35207,                 2.1915,                 2.7532,                 1.8315,                0.02483,              0.0018303,              0.0018303
                     78,                  1.139,                 1.3807,                 1.0687,                      1,                0.43124,                   0.87,                0.35207,                 2.1915,                 2.7532,                 1.8315,               0.023777,              0.0017768,              0.0017768
                     79,                 1.1372,                 1.3365,                 1.0623,                      1,                0.43124,                   0.87,                0.35207,                 2.1915,                 2.7532,                 1.8315,               0.022721,              0.0017214,              0.0017214
                     80,                 1.0018,                 1.3986,                 1.0089,                      1,                0.45915,                0.91167,                0.35618,                 2.3529,                 2.6736,                 1.9755,               0.021664,               0.001664,               0.001664
                     81,                 1.0704,                 1.4672,                 1.0125,                      1,                0.45915,                0.91167,                0.35618,                 2.3529,                 2.6736,                 1.9755,               0.020605,              0.0016046,              0.0016046
                     82,                 1.0675,                 1.2974,                 1.0312,                      1,                0.45915,                0.91167,                0.35618,                 2.3529,                 2.6736,                 1.9755,               0.019543,              0.0015432,              0.0015432
                     83,                 1.1586,                 1.9323,                 1.1058,                      1,                0.47635,                0.91167,                0.36438,                 2.2542,                 2.6454,                 1.9616,                0.01848,              0.0014799,              0.0014799
                     84,                0.96491,                 1.4113,                 1.0607,                      1,                0.47635,                0.91167,                0.36438,                 2.2542,                 2.6454,                 1.9616,               0.017415,              0.0014146,              0.0014146
                     85,                 1.1366,                 1.4122,                 1.0658,                      1,                0.47635,                0.91167,                0.36438,                 2.2542,                 2.6454,                 1.9616,               0.016347,              0.0013473,              0.0013473
                     86,                 1.3288,                 1.5874,                 1.1179,                      1,                0.47635,                0.91167,                0.36438,                 2.2542,                 2.6454,                 1.9616,               0.015278,               0.001278,               0.001278
                     87,                0.94876,                 1.4099,                 1.1007,                      1,                0.48937,                0.88786,                0.32036,                 2.2799,                  2.552,                  1.918,               0.014207,              0.0012067,              0.0012067
                     88,                  1.019,                  1.157,                 1.0481,                      1,                0.48937,                0.88786,                0.32036,                 2.2799,                  2.552,                  1.918,               0.013133,              0.0011334,              0.0011334
                     89,                0.90381,                 1.3038,                 1.0229,                      1,                0.48937,                0.88786,                0.32036,                 2.2799,                  2.552,                  1.918,               0.012058,              0.0010582,              0.0010582
                     90,                 1.0793,                 1.6575,                 1.0054,                      1,                0.48937,                0.88786,                0.32036,                 2.2799,                  2.552,                  1.918,               0.010981,               0.000981,               0.000981
                     91,                 1.1522,                 1.4665,                 1.0598,                      1,                0.62837,                0.91167,                 0.3562,                 2.3352,                 2.5064,                 1.9286,              0.0099018,             0.00090181,             0.00090181
                     92,                0.98528,                 1.3743,                0.96876,                      1,                0.62837,                0.91167,                 0.3562,                 2.3352,                 2.5064,                 1.9286,              0.0088206,             0.00082064,             0.00082064
                     93,                 1.1672,                 1.6119,                 1.1102,                      1,                0.62837,                0.91167,                 0.3562,                 2.3352,                 2.5064,                 1.9286,              0.0077375,             0.00073749,             0.00073749
                     94,                 1.0383,                 1.3838,                0.97633,                      1,                0.62837,                0.91167,                 0.3562,                 2.3352,                 2.5064,                 1.9286,              0.0066524,             0.00065236,             0.00065236
                     95,                 1.0092,                 1.4413,                 1.0563,                0.96944,                   0.75,                  0.945,                0.29487,                 2.3875,                  2.438,                 1.9616,              0.0055653,             0.00056525,             0.00056525
                     96,                0.89194,                 1.4418,                0.98655,                0.96944,                   0.75,                  0.945,                0.29487,                 2.3875,                  2.438,                 1.9616,              0.0044762,             0.00047616,             0.00047616
                     97,                 1.0832,                 1.6539,                0.99907,                0.96944,                   0.75,                  0.945,                0.29487,                 2.3875,                  2.438,                 1.9616,              0.0033851,             0.00038509,             0.00038509
                     98,                 1.0359,                 1.5753,                 1.1367,                0.96944,                   0.75,                  0.945,                0.29487,                 2.3875,                  2.438,                 1.9616,               0.002292,             0.00029204,             0.00029204
                     99,                0.80726,                 1.3547,                0.94861,                0.92507,                   0.75,                  0.945,                0.32512,                 2.3972,                  2.368,                 1.9514,               0.001197,             0.00019701,             0.00019701
